A|неопределенный артикль
ABANDON|отказываться, покидать, прекращать
ABANDONED|заброшенный 
ABATE|уменьшить
ABBEY|Аббатство
ABBREVIATION|сокращение
ABC|алфавит, азбука, букварь, начатки, основы
ABIDE|ждать, терпеть
ABILITY|способность (-y не от слова capable)
ABLE|способный (-e)
ABOARD|на корабле, на борту, в вагоне
ABODE|местопребывание, жилище (не lodge)
ABOMINABLE|отвратительный, противный
ABOUT|о
ABOVE|над, выше, наверху
ABROAD|за границей
ABRUPT|резкий, внезапный, крутой, обрывистый
ABRUPTLY|внезапно, резко, грубо 
ABSENCE|отсутствие
ABSENT|отсутствующий
ABSOLUTE|совершенный, чистый
ABSOLUTELY|абсолютно, совершенно
ABSORB|поглощать, всасывать, впитывать
ABSORBED|увлечённый чем-либо 
ABSORPTION|Поглощение
ABSTRACT|отвлеченный, абстрактный
ABSURD|нелепый
ABSURDITY|нелепость
ABUNDANCE|богатство, изобилие
ABUNDANT|обильный
ACACIA|акация
ACCENT|подчеркивать, произносить
ACCEPT|принимать
ACCEPTED|принятый
ACCESS|доступ, подход, доступность
ACCESSIBLE|доступный
ACCIDENT|несчастный случай
ACCIDENTAL|случайный, нечаянный
ACCIDENTALLY|случайно, нечаянно
ACCLAIM|провозглашать
ACCOMMODATE|согласовывать, улаживать, примирять
ACCOMMODATION|удобство, согласование
ACCOMPANY|сопровождать
ACCOMPANYING|сопровождающий
ACCOMPLICE|сообщник
ACCOMPLISH|выполнять
ACCOMPLISHED|Выполненный
ACCORD|согласие, гармония
ACCORDANCE|согласованность, согласие, соответствие
ACCORDING|согласно -ing
ACCORDINGLY|согласно
ACCOUNT|счет, оценка, причина
ACCOUNTS|Счета
ACCURACY|точность, аккуратность
ACCURATE|точный, правильный
ACCUSATION|обвинение
ACCUSE|обвинять
ACCUSED|Обвиняемый
ACCUSTOM|приучать
ACCUSTOMED|Приученный
ACHE|боль a-
ACHIEVE|достигать, успешно выполнять a-
ACHIEVEMENT|выполнение, достижение
ACID|кислый, кислота (не sour)
ACKNOWLEDGE|признавать, вознаграждать
ACKNOWLEDGED|Подтвержденный
ACORN|желудь
ACQUAINTANCE|знакомство, знакомый
ACQUIRE|приобретать
ACQUIRED|приобретённый 
ACQUISITION|приобретение
ACQUIT|оправдывать
ACROSS|через
ACT|акт, дело, действовать
ACTED|Действовал
ACTING|временно исполняющий обязанности, игра
ACTION|действие, поступок
ACTIVE|активный
ACTIVELY|активно, деятельно
ACTIVITY|деятельность, активность
ACTOR|актер
ACTRESS|актриса
ACTS|Действия
ACTUAL|текущий, современный
